Ticker,Sector,Sub-sector
MMM,Industrials,Industrial Conglomerates
ABT,Health Care,Health Care Equipment
ABBV,Health Care,Pharmaceuticals
ABMD,Health Care,Health Care Equipment
ACN,Information Technology,IT Consulting & Other Services
ATVI,Communication Services,Interactive Home Entertainment
ADBE,Information Technology,Application Software
AMD,Information Technology,Semiconductors
AAP,Consumer Discretionary,Automotive Retail
AES,Utilities,Independent Power Producers & Energy Traders
AFL,Financials,Life & Health Insurance
A,Health Care,Health Care Equipment
APD,Materials,Industrial Gases
AKAM,Information Technology,Internet Services & Infrastructure
ALK,Industrials,Airlines
ALB,Materials,Specialty Chemicals
ARE,Real Estate,Office REITs
ALXN,Health Care,Biotechnology
ALGN,Health Care,Health Care Supplies
ALLE,Industrials,Building Products
LNT,Utilities,Electric Utilities
ALL,Financials,Property & Casualty Insurance
GOOGL,Communication Services,Interactive Media & Services
GOOG,Communication Services,Interactive Media & Services
MO,Consumer Staples,Tobacco
AMZN,Consumer Discretionary,Internet & Direct Marketing Retail
AMCR,Materials,Paper Packaging
AEE,Utilities,Multi-Utilities
AAL,Industrials,Airlines
AEP,Utilities,Electric Utilities
AXP,Financials,Consumer Finance
AIG,Financials,Property & Casualty Insurance
AMT,Real Estate,Specialized REITs
AWK,Utilities,Water Utilities
AMP,Financials,Asset Management & Custody Banks
ABC,Health Care,Health Care Distributors
AME,Industrials,Electrical Components & Equipment
AMGN,Health Care,Biotechnology
APH,Information Technology,Electronic Components
ADI,Information Technology,Semiconductors
ANSS,Information Technology,Application Software
ANTM,Health Care,Managed Health Care
AON,Financials,Insurance Brokers
AOS,Industrials,Building Products
APA,Energy,Oil & Gas Exploration & Production
AIV,Real Estate,Residential REITs
AAPL,Information Technology,"Technology Hardware, Storage & Peripherals"
AMAT,Information Technology,Semiconductor Equipment
APTV,Consumer Discretionary,Auto Parts & Equipment
ADM,Consumer Staples,Agricultural Products
ANET,Information Technology,Communications Equipment
AJG,Financials,Insurance Brokers
AIZ,Financials,Multi-line Insurance
T,Communication Services,Integrated Telecommunication Services
ATO,Utilities,Gas Utilities
ADSK,Information Technology,Application Software
ADP,Information Technology,Internet Services & Infrastructure
AZO,Consumer Discretionary,Specialty Stores
AVB,Real Estate,Residential REITs
AVY,Materials,Paper Packaging
BKR,Energy,Oil & Gas Equipment & Services
BLL,Materials,Metal & Glass Containers
BAC,Financials,Diversified Banks
BK,Financials,Asset Management & Custody Banks
BAX,Health Care,Health Care Equipment
BDX,Health Care,Health Care Equipment
BRK.B,Financials,Multi-Sector Holdings
BBY,Consumer Discretionary,Computer & Electronics Retail
BIO,Health Care,Life Sciences Tools & Services
BIIB,Health Care,Biotechnology
BLK,Financials,Asset Management & Custody Banks
BA,Industrials,Aerospace & Defense
BKNG,Consumer Discretionary,Internet & Direct Marketing Retail
BWA,Consumer Discretionary,Auto Parts & Equipment
BXP,Real Estate,Office REITs
BSX,Health Care,Health Care Equipment
BMY,Health Care,Health Care Distributors
AVGO,Information Technology,Semiconductors
BR,Information Technology,Data Processing & Outsourced Services
BF.B,Consumer Staples,Distillers & Vintners
CHRW,Industrials,Air Freight & Logistics
COG,Energy,Oil & Gas Exploration & Production
CDNS,Information Technology,Application Software
CPB,Consumer Staples,Packaged Foods & Meats
COF,Financials,Consumer Finance
CAH,Health Care,Health Care Distributors
KMX,Consumer Discretionary,Specialty Stores
CCL,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
CARR,Industrials,Building Products
CTLT,Health Care,Pharmaceuticals
CAT,Industrials,Construction Machinery & Heavy Trucks
CBOE,Financials,Financial Exchanges & Data
CBRE,Real Estate,Real Estate Services
CDW,Information Technology,Technology Distributors
CE,Materials,Specialty Chemicals
CNC,Health Care,Managed Health Care
CNP,Utilities,Multi-Utilities
CERN,Health Care,Health Care Technology
CF,Materials,Fertilizers & Agricultural Chemicals
SCHW,Financials,Investment Banking & Brokerage
CHTR,Communication Services,Cable & Satellite
CVX,Energy,Integrated Oil & Gas
CMG,Consumer Discretionary,Restaurants
CB,Financials,Property & Casualty Insurance
CHD,Consumer Staples,Household Products
CI,Health Care,Managed Health Care
CINF,Financials,Property & Casualty Insurance
CTAS,Industrials,Diversified Support Services
CSCO,Information Technology,Communications Equipment
C,Financials,Diversified Banks
CFG,Financials,Regional Banks
CTXS,Information Technology,Application Software
CLX,Consumer Staples,Household Products
CME,Financials,Financial Exchanges & Data
CMS,Utilities,Multi-Utilities
KO,Consumer Staples,Soft Drinks
CTSH,Information Technology,IT Consulting & Other Services
CL,Consumer Staples,Household Products
CMCSA,Communication Services,Cable & Satellite
CMA,Financials,Diversified Banks
CAG,Consumer Staples,Packaged Foods & Meats
CXO,Energy,Oil & Gas Exploration & Production
COP,Energy,Oil & Gas Exploration & Production
ED,Utilities,Electric Utilities
STZ,Consumer Staples,Distillers & Vintners
COO,Health Care,Health Care Supplies
CPRT,Industrials,Diversified Support Services
GLW,Information Technology,Electronic Components
CTVA,Materials,Fertilizers & Agricultural Chemicals
COST,Consumer Staples,Hypermarkets & Super Centers
CCI,Real Estate,Specialized REITs
CSX,Industrials,Railroads
CMI,Industrials,Industrial Machinery
CVS,Health Care,Health Care Services
DHI,Consumer Discretionary,Homebuilding
DHR,Health Care,Health Care Equipment
DRI,Consumer Discretionary,Restaurants
DVA,Health Care,Health Care Facilities
DE,Industrials,Agricultural & Farm Machinery
DAL,Industrials,Airlines
XRAY,Health Care,Health Care Supplies
DVN,Energy,Oil & Gas Exploration & Production
DXCM,Health Care,Health Care Equipment
FANG,Energy,Oil & Gas Exploration & Production
DLR,Real Estate,Specialized REITs
DFS,Financials,Consumer Finance
DISCA,Communication Services,Broadcasting
DISCK,Communication Services,Broadcasting
DISH,Communication Services,Cable & Satellite
DG,Consumer Discretionary,General Merchandise Stores
DLTR,Consumer Discretionary,General Merchandise Stores
D,Utilities,Electric Utilities
DPZ,Consumer Discretionary,Restaurants
DOV,Industrials,Industrial Machinery
DOW,Materials,Commodity Chemicals
DTE,Utilities,Multi-Utilities
DUK,Utilities,Electric Utilities
DRE,Real Estate,Industrial REITs
DD,Materials,Specialty Chemicals
DXC,Information Technology,IT Consulting & Other Services
EMN,Materials,Diversified Chemicals
ETN,Industrials,Electrical Components & Equipment
EBAY,Consumer Discretionary,Internet & Direct Marketing Retail
ECL,Materials,Specialty Chemicals
EIX,Utilities,Electric Utilities
EW,Health Care,Health Care Equipment
EA,Communication Services,Interactive Home Entertainment
EMR,Industrials,Electrical Components & Equipment
ETR,Utilities,Electric Utilities
EOG,Energy,Oil & Gas Exploration & Production
EFX,Industrials,Research & Consulting Services
EQIX,Real Estate,Specialized REITs
EQR,Real Estate,Residential REITs
ESS,Real Estate,Residential REITs
EL,Consumer Staples,Personal Products
ETSY,Consumer Discretionary,Internet & Direct Marketing Retail
EVRG,Utilities,Electric Utilities
ES,Utilities,Multi-Utilities
RE,Financials,Reinsurance
EXC,Utilities,Multi-Utilities
EXPE,Consumer Discretionary,Internet & Direct Marketing Retail
EXPD,Industrials,Air Freight & Logistics
EXR,Real Estate,Specialized REITs
XOM,Energy,Integrated Oil & Gas
FFIV,Information Technology,Communications Equipment
FB,Communication Services,Interactive Media & Services
FAST,Industrials,Building Products
FRT,Real Estate,Retail REITs
FDX,Industrials,Air Freight & Logistics
FIS,Information Technology,Data Processing & Outsourced Services
FITB,Financials,Regional Banks
FE,Utilities,Electric Utilities
FRC,Financials,Regional Banks
FISV,Information Technology,Data Processing & Outsourced Services
FLT,Information Technology,Data Processing & Outsourced Services
FLIR,Information Technology,Electronic Equipment & Instruments
FLS,Industrials,Industrial Machinery
FMC,Materials,Fertilizers & Agricultural Chemicals
F,Consumer Discretionary,Automobile Manufacturers
FTNT,Information Technology,Systems Software
FTV,Industrials,Industrial Machinery
FBHS,Industrials,Building Products
FOXA,Communication Services,Movies & Entertainment
FOX,Communication Services,Movies & Entertainment
BEN,Financials,Asset Management & Custody Banks
FCX,Materials,Copper
GPS,Consumer Discretionary,Apparel Retail
GRMN,Consumer Discretionary,Consumer Electronics
IT,Information Technology,IT Consulting & Other Services
GD,Industrials,Aerospace & Defense
GE,Industrials,Industrial Conglomerates
GIS,Consumer Staples,Packaged Foods & Meats
GM,Consumer Discretionary,Automobile Manufacturers
GPC,Consumer Discretionary,Specialty Stores
GILD,Health Care,Biotechnology
GL,Financials,Life & Health Insurance
GPN,Information Technology,Data Processing & Outsourced Services
GS,Financials,Investment Banking & Brokerage
GWW,Industrials,Industrial Machinery
HAL,Energy,Oil & Gas Equipment & Services
HBI,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
HIG,Financials,Property & Casualty Insurance
HAS,Consumer Discretionary,Leisure Products
